sim_num,N,sim_type,model_type,mse,coverage,ci_length,auc_roc,auc_pr,ppv,rand
38,500,probit,hs_gibbs,0.003239620972095017,1,0.32720073157529866,0.9537780572755418,0.961165021265438,0.8790035587188612,0.9216326530612244
38,500,probit,lasso_gibbs,0.0078937631291917075,1,0.4665807328200673,0.9481262899896801,0.9561880996365276,0.8723404255319149,0.9216326530612244
38,500,probit,ridge_gibbs,0.01052608892035321,0.96,0.4711294828694673,0.9427002708978328,0.9519024214072941,0.8745519713261649,0.8497959183673469
37,500,probit,hs_gibbs,0.004698080236847167,1,0.43324392164843156,0.9874121437753551,0.9919771026150798,0.9533333333333334,0.9216326530612244
37,500,probit,lasso_gibbs,0.01321500947262998,1,0.640173405553595,0.9831132406217132,0.9891967423660857,0.934640522875817,0.96
37,500,probit,ridge_gibbs,0.02265443521375441,0.94,0.621713473285245,0.9810096996610962,0.9878318462213035,0.930921052631579,0.8848979591836734
36,500,probit,hs_gibbs,0.01100439653151565,1,0.40592011171907555,0.9598580596721429,0.9291624706312857,0.8598726114649682,0.8163265306122449
36,500,probit,lasso_gibbs,0.03337828961733176,0.94,0.6295018436691603,0.9446361214894796,0.9017149978998541,0.8258064516129032,0.7542857142857142
36,500,probit,ridge_gibbs,0.027956664690125435,0.94,0.6054637369514392,0.9376553030980175,0.8894902702695003,0.8129032258064516,0.7542857142857142
35,500,probit,hs_gibbs,0.005184119751360858,1,0.3695812722787177,0.9685773996118824,0.9783277243796518,0.9093851132686084,0.8497959183673469
35,500,probit,lasso_gibbs,0.01452797175210529,0.96,0.5717405448149286,0.9637425154666535,0.9746578653527757,0.8913738019169329,0.8163265306122449
35,500,probit,ridge_gibbs,0.02440309522211752,0.94,0.5768147605521645,0.9570665605148364,0.9696201574549813,0.8888888888888888,0.8163265306122449
34,500,probit,hs_gibbs,0.013991829660415008,0.98,0.42599046389952244,0.9665594649514392,0.9699489497122594,0.9191489361702128,0.9216326530612244
34,500,probit,lasso_gibbs,0.026227106069161017,0.98,0.5873800010923478,0.963687418998704,0.9676006081534045,0.9264069264069265,0.9216326530612244
34,500,probit,ridge_gibbs,0.014647874217499648,0.98,0.5405865802822383,0.9606793708699339,0.9648374590754055,0.892,0.96
33,500,probit,hs_gibbs,0.004320878505262099,1,0.3226100981036063,0.9501155336911151,0.9016693360627703,0.6995073891625616,0.9216326530612244
33,500,probit,lasso_gibbs,0.00852369030254787,0.98,0.4407728175386293,0.9431276088252832,0.8885012129090434,0.695,0.9216326530612244
33,500,probit,ridge_gibbs,0.014617730022800226,0.96,0.4471525024568563,0.9390280262373286,0.8800285781649212,0.7243243243243244,0.9216326530612244
32,500,probit,hs_gibbs,0.03277888313938996,1,0.6569866234366437,0.9753358798735511,0.9686946735662268,0.8867924528301887,1
32,500,probit,lasso_gibbs,0.1303956643332194,0.96,1.0034480440271563,0.9688487881981033,0.9602771288885826,0.8767772511848341,0.96
32,500,probit,ridge_gibbs,0.07665252877540321,0.9,0.8674199971527112,0.9627321522655428,0.9538336024860026,0.898936170212766,0.8497959183673469
31,500,probit,hs_gibbs,0.010114638993591614,0.98,0.4328552369477419,0.9563189353411268,0.9409258623314343,0.8349056603773585,0.9216326530612244
31,500,probit,lasso_gibbs,0.018502172948359923,0.98,0.5872257138025454,0.949020870484116,0.9322674157568944,0.8260869565217391,0.8848979591836734
31,500,probit,ridge_gibbs,0.018318814923077863,0.96,0.5830609641356527,0.9463212469453801,0.9291526847724056,0.8681318681318682,0.8848979591836734
30,500,probit,hs_gibbs,0.010984451537969939,1,0.414208797525401,0.9899071390937829,0.9928942435880324,0.9025157232704403,0.8497959183673469
30,500,probit,lasso_gibbs,0.018020964061039573,1,0.6791068889630921,0.983963382507903,0.9889330193333633,0.9144736842105263,0.8497959183673469
30,500,probit,ridge_gibbs,0.022282760721707748,0.96,0.6894394846901352,0.9792215489989462,0.9860270649083684,0.9191919191919192,0.7844897959183673
3,500,probit,hs_gibbs,0.012430744884088893,0.92,0.29273266362287903,0.9434055233581267,0.8331761978410351,0.7339449541284404,0.7542857142857142
3,500,probit,lasso_gibbs,0.013330700729491994,0.96,0.4302246586935992,0.9413407165818063,0.8324451133864218,0.7575757575757576,0.7844897959183673
3,500,probit,ridge_gibbs,0.020724266534428538,0.9,0.4352835280974825,0.9370703207489618,0.8265596687003852,0.7425742574257426,0.8163265306122449
29,500,probit,hs_gibbs,0.006565478237902382,0.98,0.33514888606797927,0.977615559569202,0.9679365180840457,0.8787878787878788,0.8497959183673469
29,500,probit,lasso_gibbs,0.012911479789141051,0.98,0.5773545037746655,0.9719379222690481,0.9607889793580703,0.8318181818181818,0.8163265306122449
29,500,probit,ridge_gibbs,0.031228025879154846,0.98,0.5616033864557696,0.966770352531942,0.9547185315445219,0.8026315789473685,0.8163265306122449
28,500,probit,hs_gibbs,0.01375928979308171,1,0.4715376410681056,0.9735619864237227,0.9835866877832654,0.9250814332247557,0.96
28,500,probit,lasso_gibbs,0.02554687460490893,0.96,0.6425941195845866,0.9670375474233995,0.9795681014133558,0.9129032258064517,0.8848979591836734
28,500,probit,ridge_gibbs,0.031271247631615054,0.9,0.6169462876908524,0.9592286360775107,0.974658287692701,0.9105431309904153,0.7844897959183673
27,500,probit,hs_gibbs,0.01361840019734533,1,0.49543532525409395,0.9557115003464445,0.9625587769470851,0.8631578947368421,0.9216326530612244
27,500,probit,lasso_gibbs,0.023862301324839956,0.98,0.6383880609661097,0.9505954011505181,0.9582765742039191,0.8776978417266187,0.96
27,500,probit,ridge_gibbs,0.02245110812403771,0.96,0.5964632053513267,0.9458015759196894,0.9546231893346858,0.8777777777777778,0.9216326530612244
26,500,probit,hs_gibbs,0.00424265415150995,0.98,0.3272975268033988,0.9657717569786536,0.9532221462028712,0.85,0.8163265306122449
26,500,probit,lasso_gibbs,0.013639683434018227,0.98,0.5149514286251088,0.95376026272578,0.940490477209956,0.8787878787878788,0.8497959183673469
26,500,probit,ridge_gibbs,0.02117976238110393,0.94,0.5357392541320638,0.9460344827586207,0.9315639680445204,0.8636363636363636,0.7844897959183673
25,500,probit,hs_gibbs,0.011373362649620513,1,0.4544019373931005,0.9419389204545454,0.9592700604554005,0.878419452887538,0.96
25,500,probit,lasso_gibbs,0.021828884174823468,0.96,0.5939803695721968,0.9366714015151515,0.9564002861787011,0.8906752411575563,0.8848979591836734
25,500,probit,ridge_gibbs,0.02718290696529048,0.92,0.619478812489676,0.9332301812770563,0.953674227617309,0.890728476821192,0.8163265306122449
24,500,probit,hs_gibbs,0.016089766276327872,0.98,0.41821459031017066,0.9704781211191468,0.9862595640490102,0.9551282051282052,0.8497959183673469
24,500,probit,lasso_gibbs,0.05642590759580799,0.98,0.7779262285470556,0.96419570458032,0.9831156835611415,0.9361702127659575,0.8497959183673469
24,500,probit,ridge_gibbs,0.02104612274071651,0.96,0.6689657967238376,0.9611184162466213,0.9817178717798386,0.9380804953560371,0.8497959183673469
23,500,probit,hs_gibbs,0.0036534432272386955,0.96,0.2818984588329808,0.97015,0.9583189238062408,0.8450704225352113,0.8163265306122449
23,500,probit,lasso_gibbs,0.007391614601451879,1,0.5058026553065008,0.96995,0.9582211871664705,0.890625,0.8163265306122449
23,500,probit,ridge_gibbs,0.014061883730327485,1,0.5032106694631963,0.96915,0.9579701089722444,0.8564593301435407,0.8163265306122449
22,500,probit,hs_gibbs,0.009284453434988283,0.98,0.3338614338728462,0.9204061306921928,0.8476238419404426,0.7341040462427746,0.8163265306122449
22,500,probit,lasso_gibbs,0.017663064922730298,0.96,0.4694205883801559,0.9169294896622955,0.8430891411000987,0.727810650887574,0.8497959183673469
22,500,probit,ridge_gibbs,0.02042525219746902,0.92,0.5116238925705482,0.9104465224367841,0.8319033814086061,0.7232704402515723,0.7844897959183673
21,500,probit,hs_gibbs,0.009379184123904325,1,0.3323381603343629,0.9314629034064545,0.9345682950389129,0.8104089219330854,0.8848979591836734
21,500,probit,lasso_gibbs,0.021076362945943398,1,0.5477516674783545,0.9269508312132995,0.9308362137055567,0.8205128205128205,0.8848979591836734
21,500,probit,ridge_gibbs,0.018072903368790937,0.98,0.5376668779852662,0.9246467943487096,0.9288464482489139,0.8113207547169812,0.8848979591836734
