sim_num,N,sim_type,model_type,mse,coverage,ci_length,auc_roc,auc_pr,ppv,rand
4,500,probit,ridge_glm_1se,0.03587041314267259,NA,NA,0.9432302329441709,0.9734464990800917,0.8787878787878788,0.6734693877551021
4,500,probit,ridge_glm_min,0.13160125230757788,NA,NA,0.9491875541784245,0.9763873360000679,0.8726287262872628,0.6734693877551021
39,500,probit,lasso_glm_1se,0.1416861189102309,NA,NA,0.9465361077111383,0.9624567652156671,0.862876254180602,0.8848979591836734
39,500,probit,lasso_glm_min,0.13681996902244867,NA,NA,0.9634924520603835,0.9742864531900476,0.8705501618122977,0.6987755102040816
39,500,probit,ridge_glm_1se,0.03769475099593789,NA,NA,0.9642268461852305,0.973760225058133,0.8634920634920635,0.6734693877551021
39,500,probit,ridge_glm_min,0.13740518255944276,NA,NA,0.9658425132598939,0.9762253118406892,0.8584905660377359,0.6734693877551021
38,500,probit,lasso_glm_1se,0.07128120946617877,NA,NA,0.9531894994840041,0.9616630207841379,0.8421052631578947,0.8497959183673469
38,500,probit,lasso_glm_min,0.06816169717337986,NA,NA,0.9524638802889577,0.960685078459541,0.875,0.6277551020408163
38,500,probit,ridge_glm_1se,0.009253691471980062,NA,NA,0.9429340815273478,0.9525029790202856,0.8389261744966443,0.6734693877551021
38,500,probit,ridge_glm_min,0.06784471859870307,NA,NA,0.9406443498452013,0.9495451827342696,0.8694029850746269,0.6734693877551021
37,500,probit,lasso_glm_1se,0.30225283198599384,NA,NA,0.980533898729528,0.9879908745731022,0.9088050314465409,0.7542857142857142
37,500,probit,lasso_glm_min,0.29326306778060907,NA,NA,0.9817693116746523,0.9887535510470293,0.9431438127090301,0.5420408163265307
37,500,probit,ridge_glm_1se,0.0933342087546632,NA,NA,0.9742733601562631,0.9835289392207052,0.9324324324324325,0.6734693877551021
37,500,probit,ridge_glm_min,0.29313046854358943,NA,NA,0.975358520175629,0.9842770825078182,0.9185667752442996,0.6734693877551021
36,500,probit,lasso_glm_1se,0.17001987227216614,NA,NA,0.9639071131053469,0.9329334089257268,0.8846153846153846,0.8163265306122449
36,500,probit,lasso_glm_min,0.16610662688292804,NA,NA,0.9641752623393339,0.9355214552198464,0.879746835443038,0.6987755102040816
36,500,probit,ridge_glm_1se,0.04561215243293752,NA,NA,0.9466025492053844,0.9059893965813471,0.8121212121212121,0.6734693877551021
36,500,probit,ridge_glm_min,0.1670728659338571,NA,NA,0.9406138829796743,0.8965881701277358,0.8666666666666667,0.6734693877551021
35,500,probit,lasso_glm_1se,0.1911030753851405,NA,NA,0.9561460251115423,0.9690528966200865,0.8973509933774835,0.8163265306122449
35,500,probit,lasso_glm_min,0.18270224603383564,NA,NA,0.9609560299215472,0.9723659336877621,0.8867924528301887,0.4971428571428571
35,500,probit,ridge_glm_1se,0.05054735237679473,NA,NA,0.9492793285896735,0.963264322787901,0.8676923076923077,0.6734693877551021
35,500,probit,ridge_glm_min,0.18225115809171105,NA,NA,0.9467582226202916,0.9624407728416998,0.865625,0.6734693877551021
34,500,probit,lasso_glm_1se,0.1495856193774699,NA,NA,0.9633434134946159,0.9666890831831978,0.9227467811158798,0.7542857142857142
34,500,probit,lasso_glm_min,0.14602985307623426,NA,NA,0.9650554408870542,0.968602499067952,0.8975409836065574,0.5714285714285714
34,500,probit,ridge_glm_1se,0.024267656175750506,NA,NA,0.9539672634762156,0.958898788729079,0.8806584362139918,0.6734693877551021
34,500,probit,ridge_glm_min,0.1468625713162877,NA,NA,0.9543032688523017,0.9592215909292607,0.8821138211382114,0.6734693877551021
33,500,probit,lasso_glm_1se,0.1415189218191606,NA,NA,0.9344625819916518,0.8727074790984776,0.6984126984126984,0.6987755102040816
33,500,probit,lasso_glm_min,0.13204325468092049,NA,NA,0.939121198568873,0.8777700101032688,0.7443181818181818,0.5028571428571429
33,500,probit,ridge_glm_1se,0.03632129774985116,NA,NA,0.9239341085271318,0.8480750989597706,0.6650717703349283,0.6734693877551021
33,500,probit,ridge_glm_min,0.13129118159157846,NA,NA,0.9276050983899821,0.853658397780319,0.6785714285714286,0.6734693877551021
32,500,probit,lasso_glm_1se,0.3280161603191706,NA,NA,0.9741833508956796,0.9674327269733917,0.9265536723163842,0.96
32,500,probit,lasso_glm_min,0.32039161152246903,NA,NA,0.9790898314014752,0.9728782381527143,0.9104477611940298,0.649795918367347
32,500,probit,ridge_glm_1se,0.11115763926754733,NA,NA,0.9627074552160169,0.951274887309062,0.8865979381443299,0.6734693877551021
32,500,probit,ridge_glm_min,0.3229475281909198,NA,NA,0.9605835089567967,0.9487302398426912,0.893048128342246,0.6734693877551021
31,500,probit,lasso_glm_1se,0.18641805271277312,NA,NA,0.9652598903639126,0.9519593150875041,0.8808290155440415,0.8163265306122449
31,500,probit,lasso_glm_min,0.1801008686456401,NA,NA,0.9554851066640249,0.9396917747190128,0.8638743455497382,0.529795918367347
31,500,probit,ridge_glm_1se,0.032031872785045754,NA,NA,0.9420612905356317,0.925255344376724,0.8358974358974359,0.6734693877551021
31,500,probit,ridge_glm_min,0.18147505099326242,NA,NA,0.9398982894128525,0.9216497037779057,0.7763713080168776,0.6734693877551021
30,500,probit,lasso_glm_1se,0.21417077945957186,NA,NA,0.9884088514225501,0.9917634398348821,0.9255663430420712,0.6734693877551021
30,500,probit,lasso_glm_min,0.20649471133683747,NA,NA,0.9841938883034773,0.9889672966630882,0.9266666666666666,0.4971428571428571
30,500,probit,ridge_glm_1se,0.06271830698855169,NA,NA,0.9818559009483667,0.9879795952864145,0.9052287581699346,0.6734693877551021
30,500,probit,ridge_glm_min,0.20847655949340593,NA,NA,0.9754182033719705,0.9836267527426082,0.8980263157894737,0.6734693877551021
3,500,probit,lasso_glm_1se,0.07561729284929211,NA,NA,0.9400736760599733,0.8237752309585085,0.704,0.7844897959183673
3,500,probit,lasso_glm_min,0.07347521911467882,NA,NA,0.943100495084352,0.837112495056088,0.7755102040816326,0.6734693877551021
3,500,probit,ridge_glm_1se,0.02890872445770616,NA,NA,0.931087073840306,0.8144450053071867,0.8108108108108109,0.6734693877551021
3,500,probit,ridge_glm_min,0.0744196620728813,NA,NA,0.9279194725357235,0.8042946889501943,0.7578947368421053,0.6734693877551021
29,500,probit,lasso_glm_1se,0.23499872986163228,NA,NA,0.9645293999598635,0.9509428370755962,0.8446601941747572,0.8163265306122449
29,500,probit,lasso_glm_min,0.22970822871476249,NA,NA,0.9673891230182621,0.9554945815508605,0.8271028037383178,0.649795918367347
29,500,probit,ridge_glm_1se,0.0893605194556754,NA,NA,0.9596126831226169,0.9463495752198562,0.8549222797927462,0.6734693877551021
29,500,probit,ridge_glm_min,0.2304782971773193,NA,NA,0.9611010769951167,0.948944189237145,0.7835497835497836,0.6734693877551021
